Username,Text,Label
ilrifhalidaf,b'ya Allah butut amat sinyal telkomsel \xf0\x9f\x98\x94',Negatif
siiskurnia,b'@Telkomsel Hallo admin \n Kapan pulih seperti semula jaringan telkomsel ? \n Indiehome juha ga bisa tolong perbaikannya segera karena banyak kerjaan yg tertunda thanks',Negatif
MentarinyaWinie,b'sinyal telkomsel kenapa sih? kenapa selalu ngilang tiba tiba kayak crush\xf0\x9f\x98\xad',Negatif
tiochristi,"b'@nandaputr halo kak, gudang telkom di riau kebakaran kak, jadi jaringan telkomsel rusak massal kak wkwkwk *admin*'",Negatif
_natcchan,"b'Kalo di twitter yang terjadi malah sebaliknya. Pas pake data XL lancar, pas pake wifi indihome malah nggak ngeload foto/videonya. Aneh bin ajaib memang \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\n \n Q: makanya pilih satu provider aja\n A: sinyal Telkomsel tempatku lemot, XL Home jaringannya gk sampe. Jadinya gitu deh'",Negatif
hendrata13,b'Ini Whatapp atau jaringan telkomsel sih yang gangguan ??\n \n #indihome\n #indihomeerror\n #whatapp',Negatif
simanisyxceria,b'Kenapa jaringan @Telkomsel ku erorrr\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad',Negatif
DavidDerot,"b'Min @Telkomsel kenapa jaringan telkomsel hilang gini? Tiba-tiba engga bisa nelp, sms, cek pulsa, padahal siang tadi lancar-lancar aja'",Negatif
billyapriyanto,b'Anjlok lagi ni jaringan @Telkomsel emang harus selalu di follow up ya?\n Paraahhh~',Negatif
pecahkepalakau,b'Sinyal telkomsel lagi trouble ya wak :(',Negatif
telaxonu,b'Sinyal telkomsel tai bgt deh',Negatif
yanfebriyani,b'sinyal telkomsel pen w gebukin',Negatif
ngehngel_tony,b'@Telkomsel sudah 2 hari ini 3 kecamatan tdk ada sinyal telkomsel mohon di banti @kemkominfo @YLKI_ID',Negatif
minumjaheanget,b'Awikwok banget sinyal Telkomsel https://t.co/NlCelxUOrv',Negatif
hambali_bom,"b'@Telkomsel Selamat siang, melaporkan hari ini jaringan telkomsel tidak bisa melakukan panggilan telfon maupun data di daerah Kab.Karimun Kepulauan Riau, mohon konfirmasinya bapak/ibu. Trims.'",Negatif
Lukmanu92014599,"b'@heriplusp Batuu dibilangin gue aja ga ngapa""ini , mungkin daerah lu yg bala sinyal telkomsel kali'",Negatif
whitesugarl,b'burik bgt sinyal telkomsel anjir',Negatif
kacang__IJO,b'Sinyal telkomsel termasuk indihom kolep...',Negatif
gunadiagung,b'Sinyal Telkomsel bapuk apa emang Twitter buka foto/video lebih lama dari biasanya ya? \xf0\x9f\xa4\x94',Negatif
uniianii,b'Jadi ngapain aja selama jaringan #telkomsel menghilang?',Negatif
zelikanajmina,b'Sinyal Telkomsel dan XL berulah di saat yang sangat tidak tepat. I need distraction.',Negatif
aBiteOfHell,b'sinyal telkomsel cacat bgt',Negatif
Wijaya23286819,b'Jaringan telkomsel di area denpasar kenapa lag parah ya',Negatif
Konekoris,b'Guys kalau aku late reply harap maklum ya. Sinyal telkomsel lagi jelek pake banget',Negatif
PadjadjaranTea,b'Sinyal @telkomsel nape sih?',Negatif
storyfromleeaan,"b'kenapa ya sinyal telkomsel skrg super lelet saking keselnya gw sampe beli paket kuota internet 2x dlm 1 bulan yg 45 Gb, ga ngaruh tetep aja super lelet, telkomsel ini emang pny niat utk memiskinkan hidup org byk eek \xf0\x9f\x98\x92\xf0\x9f\x98\x8f'",Negatif
ericbass_,b'Jam dimana memasuki sinyal @Telkomsel  lebih parah dari esia',Negatif
andlimerence,b'Jaringan telkomsel gembel banget anjir',Negatif
gsulth,b'Innalilahi jaringan @Telkomsel Reg. Medan',Negatif
aifanben,"b'Cek coba wilayah Kecamatan Plered , Kab. Purwakarta , info sinyal telkomsel hilang , indhome juga sama , ada apa nih @Telkomsel @IndiHome @IndiHomeCare'",Negatif
jimintrivia,"b'gue tuh capek kadang sama sinyal telkomsel, tapi bingung kalo disuruh pindah provider mau pindah ke apa gitu\xf0\x9f\x98\xa9'",Negatif
RdtNotyourlover,b'@mojokdotco Emang sampah nih ahir2 ini sinyal telkomsel',Negatif
Miranda94239122,b'Napa yah jaringan @Telkomsel klo lg hujan kalah bagus sm provuder lain',Negatif
gerryekaw,b'Padahal di rumah ini buat dapet 4G aja setengah mati. Sinyal @Telkomsel paling parah di sini. https://t.co/R3QctQhck3',Negatif
jessycay12,b'@Telkomsel Gak usah ngurusin sampah.. Thu jaringan Telkomsel lo gk becus...',Negatif
imaurnightmare,b'min kok telkomsel susah sinyal @Telkomsel https://t.co/5L3ayPV1IU',Negatif
_rynldy,"b'Sinyal telkomsel di kabunan lagi kutuk, busuk sekali koneksi nya'",Negatif
tabiknet1,b'Jaringan Telkomsel Sumbagut\xc2\xa0Lumpuh https://t.co/aBzBqCVykS',Negatif
phrsephone,b'Sinyal telkomsel beneran sucks banget kalo ujan',Negatif
koswarasobandi,b'Gila jaringan @Telkomsel knph ini masa iya mau log in aja kaga bisa. Jangan bilang aku disuruh nyari orang yang sama\xe2\x80\x9d gangguan di daerah ku udh mls gth terus dari dulu disuruhnya tapi gak ada perubahan. https://t.co/k96g3f4Smh',Negatif
MMunirfm,"b'@Telkomsel halo admin, jaringan telkomsel sekitar desa ngrandu, kedungadem, jawa timur ra metu sinyale blas, ra kenek dinggo internitan. Pe ganti indosat wae.'",Negatif
nlmthyng,b'Sinyal telkomsel ini yaa\n Dih nyeselin bangett',Negatif
anaktvvitter,b'bt bgtt anj sinyal telkomsel knp sih woi lemottttt!!!!!!1! ffaakk',Negatif
Debyrinaamalia,"b'Wifinya lelet jaringan telkomsel pun lelet, di semuanya apa daerah lampineng aja?'",Negatif
fhrfah,b'jaringan telkomsel kok ampas banget akhir - akhir ini',Negatif
YEFRIZAR,"b'Cek info jaringan @Telkomsel error di wilayah Padang, khususnya Lubuk Begalung, Kota Padang. Sejak beberapa jam lalu nggak connect'",Negatif
nabilahrmd,b'Sinyal telkomsel emg gangguan ya we',Negatif
baby_phoenix_,"b'@IndiHome ini mati lagi nihh Internetnya Indihome, plus jaringan Telkomsel juga mati'",Negatif
semangatnabung,b'Jaringan @telkomsel se-sumatera lumpuh.',Negatif
Helena_tafanna,"b'@fidy_universe Jaringan telkomsel malam ini, sangat amat mistis teh.'",Negatif
Yook_2nd6,"b'mengapa klo pemadaman listrik, sinyal telkomsel ikutan padam juga alias lemot'",Negatif
adhitya_anwar,"b'Jaringan telkomsel hilang kok kayak ngerasa habis kenak gempa besar gitu ya, seolah2 kartu operator lain itu gadak gunanya'",Negatif
el_u_c_k_y,"b'Jelek bgt jaringan Telkomsel, mau buka apps Queeri aja ga bisa dr semalem'",Negatif
halimattsy,b'Jaringan Telkomsel Knp sering error hmmmm',Negatif
tahapaaa,"b'Grup masih berisik, tanda kali kalo gk ada yg pake telkomsel orang ini, padahal jaringan telkomsel lagi ilang di medan \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3'",Negatif
Jakecheonsa,"b'Pleasee sinyal telkomsel jan ngadi ngadi, mau nonton vlive nct'",Negatif
MafrurIrfan,b'Tweet ini dibuat ketika jaringan #telkomsel down\n Dibuat jam 08.18 12 agt 20 @pekanbaru belum tau kapan bisa terkirim.\n Internet sudah jadi kebutuhan pokok.',Negatif
chizucaramel,b'Istigfar banget gue sama sinyal telkomsel \xf0\x9f\x98\xa4\xf0\x9f\x98\xa4',Negatif
GitManggit,b'Udah 1 bulan sinyal @Telkomsel d kosan saya jelek | sebelumnya lancar jaya | sekarang jelek bgt cuma 2 bar 3G \xf0\x9f\x98\xb0\xf0\x9f\x98\xb0\xf0\x9f\x98\xb0',Negatif
rizkinovemm,b'Sinyal telkomsel e marake darah tinggi \xf0\x9f\xa4\xaf',Negatif
beautifulrenjun,b'OIYA BELUM NYAMBAT GEGARA JARINGAN TELKOMSEL YG SUUUUUU TENAN',Negatif
jonny_rip,"b'@Telkomsel Kak..kenapa beberapa hari terakhir jaringan telkomsel di tempat saya lemah sekali. Masa donlot 8MB doang hampir 15 mnt.\n Sudah pernah telp ke CS,dan semua cara yg di anjurkan sudah saya lakukan. Tp tetep aja jaringan lemah.\n Bikin gak nyaman.'",Negatif
AbdRakibFaisal,"b'halo @Telkomsel kok di daerah labuan bajo NTT setiap sore sampai subuh jaringan telkomsel down, bikin kerjaan kami semua &amp; aktifitas kami jadi terganggu, apakah seperti ini jaringan yg katanya provider nomor satu di indonesia? yg jangkauannya luas? tolong solusinya, tks https://t.co/vPiVJaqpnl'",Negatif
Daddydut2,b'Halo @Telkomsel sampai kapan jaringan @Telkomsel dan @byu_id di Pekanbaru hilang gini?',Negatif
irezzky,"b'@rndy11 Baca komentar2nya, ternyata mmg sinyal telkomsel yg makin jelek \xf0\x9f\x98\xad pdhl berani bayar mahal biar dpt fasilitas memuaskan @Telkomsel'",Negatif
Andreas37729566,b'PLN mati sinyal @Telkomsel ikut mati',Negatif
JohnyCRPNTR,b'Sinyal telkomsel d rumah gw kalah kenceng sama ngaceng nya KONTOL GW \xf0\x9f\x98\x91\xf0\x9f\x98\x91\xf0\x9f\x98\x91\xf0\x9f\x98\x91\xf0\x9f\x98\x91\xf0\x9f\x98\x91\xf0\x9f\x98\x91\xf0\x9f\x98\x91',Negatif
IkwanErmis,"b'@Telkomsel Pak @erickthohir akhir-akhir ini merasa sinyal @Telkomsel jelek gak Pak? Ini telkomsel under BUMN kan, gaji pegawai dan investasinya pasti besar namun tidak sejalan dengan kualitas. Sudah banyak keluhan pengguna..'",Negatif
ranniy_cr,"b'Sinyal telkomsel memang luar biasa, luar biasa PARAH, capek aku tuh ma sinyalnya yang super lemot \xf0\x9f\x98\x94'",Negatif
sains_ips,"b'Jaringan telkomsel jelek bgt ya... Haruskah gua buang nih kartu? Tpi udh lama :(( bgsd emng, masa tiap hari gua harus protes trus dm""an sma tsel ntar semua cs tsel tau gua ajg tuh digunjingin dah gua \xf0\x9f\x98\xad\xf0\x9f\x98\xad'",Negatif
hendytirtaa,"b'@detikcom @detikinet Kami di pekanbaru udah dua hari jaringan internet @IndiHome  dan jaringan @Telkomsel  hilang, dan belum ada kabar baik sampai skrng'",Negatif
harutoswf,b'jaringan telkomsel ilang timbul\n kalo kamu ilang tapi ga nimbul nimbul',Negatif
Zoelv_ikar,b'Jaringan Telkomsel juga nyungsep gara gara kantor Telkom pekan baru terbakar....\xf0\x9f\x98\x87\xf0\x9f\x98\x87\xf0\x9f\x98\x87\xf0\x9f\x98\x87',Negatif
Gunkwaah,b'Udah seminggu sinyal telkomsel kayak siput',Negatif
_dwiasri,b'Sinyal telkomsel bener2 seburuk itu disini',Negatif
jyoohyun_,b'emosi bangettt sinyal telkomsel knp kek tai lemot bener syalan\xf0\x9f\xa4\xac',Negatif
cxx111809,b'Sinyal @Telkomsel Astagfirullahaladzim -.- beli mahal tapi sinyal nyaa ga sepadan -.-',Negatif
yunazra,b'Ini jaringan telkomsel lagi ngelag apa ya?? Soalnya tadi buat main game ngelag parah terus ama buat buka IG ama FB ngelag',Negatif
yocta_nr,b'Sinyal telkomsel dan by.u kabur kanginan',Negatif
doyanboboo,b'Jaringan Telkomsel jelek banget yak sue',Negatif
ZieTamzil,b'Ada dengan jaringan @Telkomsel di Medan?\n Bar sinyal full tapi lemot sangat. Akses aplikasi ojol aja ga bisa.\n \n Info nya dong...',Negatif
ssaeveeryday,"b'Udah 5hr gk sih jaringan telkomsel BUTUT bgt. Nyesel kmarin\xc2\xb2 isi ulang paket data, mana mayan jg jir'",Negatif
NaRaFe33,b'Sinyal @Telkomsel bikin emosi jiwa',Negatif
Qodridio,b'Mati lampu &amp; sinyal telkomsel adalah mimpi buruk',Negatif
kep_arif,b'Jaringan telkomsel kampreett!',Negatif
urprincesss,"b'SUSA BGT SINYAL TELKOMSEL DISINI, NANGISSSSSS'",Negatif
Fangirl1707_,b'Tolong bgt ini knp jelek bgt jaringan telkomsel dah:)',Negatif
9KIMJUNKYU,b'Percuma bayar paketan mahal2 tp bapuk jaringan telkomsel',Negatif
chanyeolhit,b'Udah 2 hari jaringan telkomsel &amp; by.u di pekanbaru cuma bisa buat telpon itupun cuma 2 garis bar.. gak bisa internetan \xf0\x9f\x98\xad terpaksa beli kartu provider lain \xf0\x9f\xa5\xba',Negatif
ecksveee,b'udah berbulan bulan sinyal telkomsel sama sekali gaada di cinere. sigh',Negatif
roselinearb,"b'Intinya ga cuma di sumatra yg ilang jaringan #telkomsel gue yg di jakarta aja internetnya muter2 aja udah dari tgl 8, harga paket mahal. Ga pernah turun, udah 7 tahun pakek @Telkomsel'",Negatif
astri_h,b'Sinyal Telkomsel iki kenopo kok ngga stabil. Hmmm \xf0\x9f\x98\x92',Negatif
KennySinulingga,b'@Telkomsel Min ini kenapa ya jaringan Telkomsel di Kalimantan timur khususnya Samarinda lag banget ya? Kirim pesan WA aja lama baru ceklisnya. Buka medsos mah gak jalan\n Tolong kasi infonya min',Negatif
valerietzh,b'jaringan telkomsel busuk banget astatank',Negatif
lilyabukanlylia,"b'kirain cuma sendiri yang ngerasa jaringan @Telkomsel jelek banget akhir akkhir ini, ternyata sampai trending di twitter toh. emng jelek sih'",Negatif
RahardiSandi,b'Jaringan Telkomsel bapuk banget asli',Negatif
ursweetandsour,b'is it just me or sinyal telkomsel hari ini rada ngadet?',Negatif
Finadna,b'Sinyal Telkomsel down disaat ku baru top up shopee pay mau beli makan -_- emang disuruh jangan mager biar jalan keluar haha',Negatif
uuldr03,"b'Jaringan telkomsel mati, pake 3 jelek banget..gmn mo ngevote?\xf0\x9f\x98\xad'",Negatif
nisabastaman,b'@Telkomsel Tolong cek jaringan telkomsel daerah sarijadi. Saya sangat kesulitan mengakses inet dari kemarin. Ada masalah kah dengan towernya?',Negatif
abdiarsa3,b'@Telkomsel tolong jaringan Telkomsel kaya dulu lagi kencang. sekarang udah lemot mau ngisi Kouta percuma jaringan lemot. maaf ya',Negatif
Loeyberryeol,b'sinyal telkomsel jelek bgt sekarang',Negatif
rettavhw,b'Anjeng ncen jaringan telkomsel iki',Negatif
geloraAni,b'Jaringan @telkomsel kok kaya kontol ya?? Byar udah mahal2',Negatif
SyahArdians,b'Setelah 2 hari dirumah aja kenapa setiap jam segini sinyal telkomsel ilang timbul',Negatif
wiwie_widy,"b'Ini jaringan telkomsel kenapa siii, dari awal bulan rusak mulu.  Atau cuma di hp w yang kayak gini'",Negatif
inoyow,b'sinyal telkomsel lagi jelekkkk',Negatif
tukang_skip,b'Jaringan telkomsel sampah banget!',Negatif
aetherphan,"b'Kenapa yahh sinyal @telkomsel ilang ilangan gk jelas, sekali nya ada pun cuman 1 bar dan tidak bisa akses internet, ini udh dari jam 9 pagi tadi dan masih berlanjut sampe sekarang \xf0\x9f\x98\xad\xf0\x9f\x98\xad'",Negatif
HannaKartika,"b'5 hari kedepan bakal slow response, emak nanti siang masuk kamar rawat inap, besok mau kemo. Sinyal telkomsel di semua rs tuh najong tralala trilili, sering lost signal, jarang dpt signal. \n Jadi mohon pengertiannya, terutama para penyelenggara giveaway (pede bgt g bakal menang)'",Negatif
lotfl_ah,"b'Jaringan @Telkomsel  rada gangguan kah? Buffering mulu, lama lagi loadingny.. Hmmmmm\n #telkomseldown #telkomselrumahbersama'",Negatif
dipsiiyy,b'Jaringan Telkomsel lagi marah kali\xf0\x9f\x99\x83',Negatif
fernandhoa_,b'Kualitas jaringan @Telkomsel makin lama makin kek asu',Negatif
Khythink252617,b'Apa sih maksudnya ni jaringan Telkomsel\n \n Kartu Elite broo . Jaringan malah sulit \n \n @Telkomsel',Negatif
theodorusgan,"b'@donatgoolaaa @DisneyPlusID Hi, saya coba pakai internet rumah dan tentu nya coba pakai jaringan telkomsel juga, tapi patah2 nonton di hp, kecewa juga ini \xf0\x9f\x98\x85'",Negatif
denaOlss,b'Sinyal telkomsel napa si\n Lemot nya masyaallah',Negatif
pengabdi_Kmuda,b'sinyal @Telkomsel dari tadi h+ mulu astaga',Negatif
thankurak,b'Jaringan telkomsel dan indihom Serasa 2G taun 2009',Negatif
Aim24Bang,b'Sinyal @Telkomsel hari ini macettt parah !!!',Negatif
